법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,법령구분명,시행일자,법령상세링크
253527,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,10ㆍ27법난법,010719,20230808,19592,법률,20230808,/DRF/lawService.do?OC=sapphire_5&target=law&MST=253527&type=HTML&mobileYn=&efYd=20230808
249727,현행,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,10ㆍ27법난법 시행령,010831,20230411,33382,대통령령,20230605,/DRF/lawService.do?OC=sapphire_5&target=law&MST=249727&type=HTML&mobileYn=&efYd=20230605
236231,현행,119구조ㆍ구급에 관한 법률,119법,011349,20211019,18487,법률,20220120,/DRF/lawService.do?OC=sapphire_5&target=law&MST=236231&type=HTML&mobileYn=&efYd=20220120
236155,현행,119구조ㆍ구급에 관한 법률 시행령,119법 시행령,011452,20211019,32070,대통령령,20220106,/DRF/lawService.do?OC=sapphire_5&target=law&MST=236155&type=HTML&mobileYn=&efYd=20220106
249483,현행,119구조ㆍ구급에 관한 법률 시행규칙,119법 시행규칙,011457,20230331,00387,행정안전부령,20230331,/DRF/lawService.do?OC=sapphire_5&target=law&MST=249483&type=HTML&mobileYn=&efYd=20230331
24144,현행,1945년이후종전의규정에의한학교졸업자자격인정령,,004546,19691204,04401,대통령령,19691204,/DRF/lawService.do?OC=sapphire_5&target=law&MST=24144&type=HTML&mobileYn=&efYd=19691204
206017,현행,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법,1959이전군퇴직금법,009678,20181224,16029,법률,20190625,/DRF/lawService.do?OC=sapphire_5&target=law&MST=206017&type=HTML&mobileYn=&efYd=20190625
208133,현행,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법 시행령,1959이전군퇴직금법 시행령,009990,20190325,29637,대통령령,20190325,/DRF/lawService.do?OC=sapphire_5&target=law&MST=208133&type=HTML&mobileYn=&efYd=20190325
3274,현행,1980년해직공무원의보상등에관한특별조치법,1980해직자보상법,001348,19890329,04101,법률,19890329,/DRF/lawService.do?OC=sapphire_5&target=law&MST=3274&type=HTML&mobileYn=&efYd=19890329
204611,현행,1980년해직공무원의보상등에관한특별조치법시행령,1980해직자보상법 시행령,004549,20180918,29181,대통령령,20180921,/DRF/lawService.do?OC=sapphire_5&target=law&MST=204611&type=HTML&mobileYn=&efYd=20180921
243115,현행,1인 창조기업 육성에 관한 법률,1인창조기업법,011370,20220610,18961,법률,20221211,/DRF/lawService.do?OC=sapphire_5&target=law&MST=243115&type=HTML&mobileYn=&efYd=20221211
245891,현행,1인 창조기업 육성에 관한 법률 시행령,1인창조기업법 시행령,011474,20221209,33051,대통령령,20221211,/DRF/lawService.do?OC=sapphire_5&target=law&MST=245891&type=HTML&mobileYn=&efYd=20221211
253529,현행,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,평창올림픽법,011532,20230808,19592,법률,20230808,/DRF/lawService.do?OC=sapphire_5&target=law&MST=253529&type=HTML&mobileYn=&efYd=20230808
239581,현행,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,평창올림픽법 시행령,011679,20220121,32352,대통령령,20220121,/DRF/lawService.do?OC=sapphire_5&target=law&MST=239581&type=HTML&mobileYn=&efYd=20220121
